indicator,geography,source,institution,frequency,last_value,last_period,interpretation,claim_boundary,next_update_note,status
"Real GDP growth","Euro area; Austria","TBD","OECD; European Commission; OeNB","quarterly_or_forecast_cycle","","","Weak or slowing growth can reduce resilience when other stress dimensions are active","Do not treat as recession prediction or investment signal","Fill after source harmonization","schema_only"
"Inflation rate","Euro area; Austria","TBD","ECB; Eurostat; OeNB","monthly_or_projection_cycle","","","Persistent inflation can keep household; business; and monetary-policy pressure visible","Do not treat as interest-rate forecast","Fill after source harmonization","schema_only"
"Core inflation","Euro area; Austria","TBD","ECB; Eurostat; OeNB","monthly_or_projection_cycle","","","Core inflation can indicate whether price pressure is broadening beyond energy","Do not treat as monetary-policy recommendation","Fill after source harmonization","schema_only"
"Energy price pressure","Europe; Austria where available","TBD","IEA; Eurostat; national sources","monthly_or_report_cycle","","","Energy pressure can transmit into inflation; real income; business costs; and fiscal exposure","Do not treat as commodity price forecast","Fill after source harmonization","schema_only"
"Government deficit","EU; euro area; Austria","TBD","European Commission; Eurostat","annual_or_forecast_cycle","","","Deficits affect fiscal room when combined with weak growth and financing needs","Do not treat as fiscal crisis signal","Fill after source harmonization","schema_only"
"Government debt ratio","EU; euro area; Austria","TBD","European Commission; Eurostat","annual_or_forecast_cycle","","","Debt ratios affect available fiscal space and sensitivity to financing conditions","Do not treat as default or insolvency signal","Fill after source harmonization","schema_only"
"Investment trend","Euro area; Austria","TBD","OECD; European Commission; Eurostat","quarterly_or_forecast_cycle","","","Investment weakness can connect uncertainty with future productive capacity","Do not treat as company or asset recommendation","Fill after source harmonization","schema_only"
"Trade and external demand","Europe; Austria","TBD","OECD; European Commission; Eurostat","quarterly_or_report_cycle","","","External demand pressure can matter for open economies and industrial sectors","Do not treat as country ranking","Fill after source harmonization","schema_only"
"Labour market stress","Euro area; Austria","TBD","Eurostat; OECD; national sources","monthly_or_quarterly","","","Labour-market resilience can buffer weak growth, but delayed stress may still matter","Do not treat as recession prediction","Fill after source harmonization","schema_only"
"Geopolitical or policy uncertainty","Europe","TBD","Institutional reports; source-bounded qualitative review","event_or_report_based","","","Uncertainty can amplify energy; investment; trade; and fiscal stress channels","Do not treat as objective risk score","Fill after source harmonization","schema_only"
